Age group,All deaths involving COVID-19,Death caused by all cases,Population
Under 1 year,26,13879,3783052
1–4 years,16,2598,15793631
5–14 years,39,4139,40994163
15–24 years,410,26662,42687510
25–34 years,1725,54516,45940321
35–44 years,4426,76852,41659144
45–54 years,11740,140304,40874902
55–64 years,28227,321282,42448537
65–74 years,48363,486783,31483433
75–84 years,59760,592264,15969872
85 years and over,69252,732901,6604958
